NotificationTime,IsBlocked,Height,Weight,Type,Type,Id,FirstName,LastName,Jmbg,Username,Password,Timestamp,IsCreationLog
30,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/20/2023 23:34:36,True
30,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/20/2023 23:35:03,False
30,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/20/2023 23:35:13,False
30,False,177,72,Allergy,Allergy,5d609ec4-86e6-47c2-8e17-36e4c4af0972,Balsa,Bulatovic,0123456789012,balsaPatient,balsaPatient,05/21/2023 23:05:55,True
30,False,177,72,Allergy,Allergy,5d609ec4-86e6-47c2-8e17-36e4c4af0972,Balsa,Bulatovic,0123456789012,balsaPatient,balsaPatient,05/22/2023 15:57:08,True
30,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/23/2023 12:07:58,True
30,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/23/2023 12:09:05,True
35,False,177,72,Allergy,Allergy,5d609ec4-86e6-47c2-8e17-36e4c4af0972,Balsa,Bulatovic,0123456789012,balsaPatient,balsaPatient,05/25/2023 19:22:57,True
35,False,176,71,Allergy,Allergy,868422c4-6735-4e77-b5cd-f5149ce4c5b7,Momir,Milutinovic,0123456789012,momirPatient,momirPatient,05/27/2023 11:27:14,True
30,False,178,73,Allergy,Allergy,b9be3d6a-0c58-4502-a724-db6476203324,Teodor,Vidakovic,0123456789012,teodorPatient,teodorPatient,05/31/2023 11:13:28,True
30,False,178,73,Allergy,Allergy,b9be3d6a-0c58-4502-a724-db6476203324,Teodor,Vidakovic,0123456789012,teodorPatient,teodorPatient,06/12/2023 19:32:28,True
30,False,178,73,Allergy,Allergy,b9be3d6a-0c58-4502-a724-db6476203324,Teodor,Vidakovic,0123456789012,teodorPatient,teodorPatient,06/12/2023 19:42:51,True
